"Latitude","Longitude","Sample.Date","3.Low","PossiblyImpaired","sample_id","Stream.Name","1.High","2.Slight"
43.0049,-78.9058,2014-09-14,0.97120323,"yes","","",NA,NA
43.0166,-73.7701,2016-08-12,0.974161497,"yes","","",NA,NA
43.0292,-77.8221,2013-09-15,0.792194616,"yes","","",NA,NA
43.0295,-78.3938,2014-08-05,0.905790374,"yes","","",NA,NA
43.0455,-77.387,2013-09-29,0.558715181,"yes","","",NA,NA
43.0519,-78.7516,2014-08-02,0.992721043,"yes","","",NA,NA
43.0683,-77.6201,2018-09-17,0.985231746,"yes","","",NA,NA
43.0894,-73.7704,2016-09-16,0.975837578,"yes","","",NA,NA
43.093,-77.8648,2013-08-13,0.891294493,"yes","","",NA,NA
43.1,-77.7531,2017-09-27,0.99584652,"yes","","",NA,NA
43.108,-77.4631,2016-09-17,0.918537392,"yes","","",NA,NA
43.108,-77.471,2016-08-26,0.686408865,"yes","","",NA,NA
43.1343,-77.5251,2014-07-19,0.752952277,"yes","","",NA,NA
43.1603,-76.3281,2015-08-19,0.900792843,"yes","","",NA,NA
43.2382,-77.5724,2014-08-08,0.667688888,"yes","","",NA,NA
43.2413,-77.3395,2014-07-18,0.824697242,"yes","","",NA,NA
43.2552,-77.4715,2017-07-15,0.64745299,"yes","","",NA,NA
43.2582,-77.3077,2017-08-25,0.747964097,"yes","","",NA,NA
43.2585,-75.9122,2016-08-10,0.563608954,"yes","","",NA,NA
43.2593,-77.0251,2014-09-27,0.704701929,"yes","","",NA,NA
43.2672,-77.2495,2014-07-01,0.952435429,"yes","","",NA,NA
43.2678,-79.0039,2018-09-02,0.535977284,"yes","","",NA,NA
43.2734,-77.3143,2013-09-30,0.941606691,"yes","","",NA,NA
43.2756,-77.2749,2013-09-29,0.922426913,"yes","","",NA,NA
43.2772,-77.85,2015-09-06,0.76706949,"yes","","",NA,NA
43.284,-75.5603,2015-09-08,0.809310785,"yes","","",NA,NA
43.2841,-77.8852,2013-08-13,0.970546309,"yes","","",NA,NA
43.2841,-77.8852,2013-08-15,0.970546309,"yes","","",NA,NA
43.2853,-78.7133,2015-09-24,0.946004391,"yes","","",NA,NA
43.3335,-77.9345,2013-09-06,0.863771062,"yes","","",NA,NA
43.3502,-73.693,2019-07-13,0.747624362,"yes","","",NA,NA
43.3535,-76.5521,2019-07-11,0.752952277,"yes","","",NA,NA
43.358,-73.684,2019-07-05,0.963496569,"yes","","",NA,NA
43.3721,-73.6771,2019-07-20,0.901286058,"yes","","",NA,NA
43.4669,-76.18,2016-09-05,0.524063276,"yes","","",NA,NA
43.7217,-73.8148,2014-08-14,0.80424539,"yes","","",NA,NA
43.8021,-76.2117,2016-09-10,0.876537727,"yes","","",NA,NA
43.8055,-76.2156,2016-07-25,0.667688888,"yes","","",NA,NA
43.8457,-76.182,2016-07-21,0.979719356,"yes","","",NA,NA
44.2699,-75.9992,2014-08-26,0.751265215,"yes","","",NA,NA
44.4406,-74.2328,2018-08-22,0.646050084,"yes","","",NA,NA
44.7908,-73.4283,2019-09-07,0.958137873,"yes","","",NA,NA
45.0026,-73.3755,2017-08-10,0.946029543,"yes","","",NA,NA
42.920957,-78.294608,2020-09-10,0.982347556,"yes","","",NA,NA
41.4019,-74.34147,2018-09-05,0.813596943,"yes","","",NA,NA
41.02,-73.5619,2020-07-30,0.917995999,"yes","","",NA,NA
41.19997,-74.02677,2020-08-17,0.576187337,"yes","","",NA,NA
42.0874,-76.7034,2020-09-30,0.805051922,"yes","","",NA,NA
41.612395,-73.7513142,2020-09-14,0.975669331,"yes","","",NA,NA
