GENSPECIES,Family
Acroneuria carolinensis,Perlidae
Acroneuria lycorias,Perlidae
Acroneuria sp.,Perlidae
Agnetina annulipes,Perlidae
Agnetina capitata,Perlidae
Agnetina flavescens,Perlidae
Agnetina sp.,Perlidae
Claassenia sabulosa,Perlidae
Claassenia sp.,Perlidae
Eccoptura sp.,Perlidae
Eccoptura xanthenes,Perlidae
Neoperla sp.,Perlidae
Paragnetina immarginata,Perlidae
Paragnetina media,Perlidae
Paragnetina sp.,Perlidae
Perlesta sp.,Perlidae
Perlesta sp. 1,Perlidae
Perlesta sp. 2,Perlidae
Undetermined Perlidae,Perlidae
Cultus decisus,Perlodidae
Cultus sp.,Perlodidae
Diura sp.,Perlodidae
Helopicus sp.,Perlodidae
Helopicus subvarians,Perlodidae
Isogenoides hansoni,Perlodidae
Isogenoides sp.,Perlodidae
Isoperla frisoni,Perlodidae
Isoperla holochlora,Perlodidae
Isoperla marlynia,Perlodidae
Isoperla namata,Perlodidae
Isoperla nana,Perlodidae
Isoperla sp.,Perlodidae
Isoperla transmarina,Perlodidae
Malirekus iroquois,Perlodidae
Malirekus sp.,Perlodidae
Remenus sp.,Perlodidae
Undetermined Perlodidae,Perlodidae
Ephoron leukon?,Polymitarcyidae
Ephoron sp.,Polymitarcyidae
Undetermined Polymitarcyidae,Polymitarcyidae
Anthopotamus sp.,Potamanthidae
Anthopotamus verticus,Potamanthidae
Undetermined Potamanthidae,Potamanthidae
Pteronarcys biloba,Pteronarcidae
Pteronarcys comstocki,Pteronarcidae
Pteronarcys dorsata,Pteronarcidae
Pteronarcys proteus,Pteronarcidae
Pteronarcys sp.,Pteronarcidae
Undetermined Pteronarcidae,Pteronarcidae
Rhyacophila acropedes,Rhyacophilidae
Rhyacophila acutiloba,Rhyacophilidae
Rhyacophila brunnea,Rhyacophilidae
Rhyacophila carolina?,Rhyacophilidae
Rhyacophila carpenteri?,Rhyacophilidae
Rhyacophila formosa,Rhyacophilidae
Rhyacophila fuscula,Rhyacophilidae
Rhyacophila glaberrima,Rhyacophilidae
Rhyacophila mainensis,Rhyacophilidae
Rhyacophila manistee,Rhyacophilidae
Rhyacophila minora,Rhyacophilidae
Rhyacophila nigrita,Rhyacophilidae
Rhyacophila sp.,Rhyacophilidae
Rhyacophila torva,Rhyacophilidae
Undetermined Rhyacophilidae,Rhyacophilidae
Neophylax concinnus,Uenoidae
Neophylax fuscus,Uenoidae
Neophylax oligius,Uenoidae
Neophylax sp.,Uenoidae
Undetermined Uenoidae,Uenoidae
