GENSPECIES,Family
Ceraclea punctata,Leptoceridae
Ceraclea sp.,Leptoceridae
Leptocerus americanus,Leptoceridae
Leptocerus sp.,Leptoceridae
Mystacides alafimbriata,Leptoceridae
Mystacides sepulchralis,Leptoceridae
Mystacides sp.,Leptoceridae
Nectopsyche sp.,Leptoceridae
Oecetis avara,Leptoceridae
Oecetis cinerascens,Leptoceridae
Oecetis inconspicua,Leptoceridae
Oecetis sp.,Leptoceridae
Setodes sp.,Leptoceridae
Triaenodes sp.,Leptoceridae
Undetermined Leptoceridae,Leptoceridae
Tricorythodes sp.,Leptohyphidae
Undetermined Leptohyphidae,Leptohyphidae
Choroterpes sp.,Leptophlebiidae
Habrophlebia sp.,Leptophlebiidae
Habrophlebia vibrans,Leptophlebiidae
Habrophlebiodes sp.,Leptophlebiidae
Leptophlebia sp.,Leptophlebiidae
Paraleptophlebia adoptiva,Leptophlebiidae
Paraleptophlebia debilis,Leptophlebiidae
Paraleptophlebia guttata,Leptophlebiidae
Paraleptophlebia moerens,Leptophlebiidae
Paraleptophlebia mollis,Leptophlebiidae
Paraleptophlebia sp.,Leptophlebiidae
Paraleptophlebia volitans,Leptophlebiidae
Undetermined Leptophlebiidae,Leptophlebiidae
Lestes sp.,Lestidae
Undetermined Lestidae,Lestidae
Leuctra ferruginea,Leuctridae
Leuctra maria,Leuctridae
Leuctra sp.,Leuctridae
Leuctra tenuis,Leuctridae
Leuctra truncata,Leuctridae
Undetermined Leuctridae,Leuctridae
Zealeuctra sp.,Leuctridae
Hesperophylax designatus,Limnephilidae
Hesperophylax sp.,Limnephilidae
Hydatophylax sp.,Limnephilidae
Limnephilus sp.,Limnephilidae
Nemotaulius hostilis,Limnephilidae
Nemotaulius sp.,Limnephilidae
Platycentropus sp.,Limnephilidae
Pseudostenophylax sp.,Limnephilidae
Psychoglypha sp.,Limnephilidae
Pycnopsyche sp.,Limnephilidae
Undetermined Limnephilidae,Limnephilidae
Fossaria sp.,Lymnaeidae
Lymnaea sp.,Lymnaeidae
Lymnaea stagnalis,Lymnaeidae
Pseudosuccinea columella,Lymnaeidae
Pseudosuccinea sp.,Lymnaeidae
Radix auricularia,Lymnaeidae
Radix sp.,Lymnaeidae
Stagnicola catascopium,Lymnaeidae
Stagnicola elodes,Lymnaeidae
Stagnicola sp.,Lymnaeidae
Undetermined Lymnaeidae,Lymnaeidae
Macromia sp.,Macromiidae
Undetermined Macromiidae,Macromiidae
Amphinemura delosa,Nemouridae
Amphinemura nigritta,Nemouridae
Amphinemura sp.,Nemouridae
Amphinemura wui,Nemouridae
Nemoura sp.,Nemouridae
Ostrocerca sp.,Nemouridae
Prostoia sp.,Nemouridae
Shipsa rotunda,Nemouridae
Shipsa sp.,Nemouridae
Soyedina sp.,Nemouridae
Undetermined Nemouridae,Nemouridae
Psilotreta labida,Odontoceridae
Psilotreta sp.,Odontoceridae
Undetermined Odontoceridae,Odontoceridae
Amphichaeta americana,OLIGOCHAETA
Amphichaeta sp.,OLIGOCHAETA
Arcteonais lomondi,OLIGOCHAETA
Arcteonais sp.,OLIGOCHAETA
Aulodrilus americanus,OLIGOCHAETA
Aulodrilus limnobius,OLIGOCHAETA
Aulodrilus piqueti,OLIGOCHAETA
Aulodrilus pluriseta,OLIGOCHAETA
Aulodrilus sp.,OLIGOCHAETA
Bothrioneurum sp.,OLIGOCHAETA
Bothrioneurum vejdovskyanum,OLIGOCHAETA
Branchiura sowerbyi,OLIGOCHAETA
Branchiura sp.,OLIGOCHAETA
Chaetogaster diaphanus,OLIGOCHAETA
Chaetogaster diastrophus,OLIGOCHAETA
Chaetogaster limnaei,OLIGOCHAETA
Chaetogaster setosus,OLIGOCHAETA
Chaetogaster sp.,OLIGOCHAETA
Dero digitata,OLIGOCHAETA
Dero furcata,OLIGOCHAETA
Dero nivea,OLIGOCHAETA
Dero obtusa,OLIGOCHAETA
Dero pectinata,OLIGOCHAETA
Dero sp.,OLIGOCHAETA
Eclipidrilus sp.,OLIGOCHAETA
Haemonais sp.,OLIGOCHAETA
Haemonais waldvogeli,OLIGOCHAETA
Ilyodrilus sp.,OLIGOCHAETA
Ilyodrilus templetoni,OLIGOCHAETA
Isochaetides freyi,OLIGOCHAETA
Isochaetides sp.,OLIGOCHAETA
Limnodrilus cervix,OLIGOCHAETA
Limnodrilus claparedeianus,OLIGOCHAETA
Limnodrilus hoffmeisteri,OLIGOCHAETA
Limnodrilus profundicola,OLIGOCHAETA
Limnodrilus sp.,OLIGOCHAETA
Limnodrilus udekemianus,OLIGOCHAETA
Nais barbata,OLIGOCHAETA
Nais behningi,OLIGOCHAETA
Nais bretscheri,OLIGOCHAETA
Nais communis,OLIGOCHAETA
Nais elinguis,OLIGOCHAETA
Nais pardalis,OLIGOCHAETA
Nais simplex,OLIGOCHAETA
Nais sp.,OLIGOCHAETA
Nais variabilis,OLIGOCHAETA
Ophidonais serpentina,OLIGOCHAETA
Ophidonais sp.,OLIGOCHAETA
Paranais frici,OLIGOCHAETA
Paranais sp.,OLIGOCHAETA
Piguetiella michiganensis,OLIGOCHAETA
Piguetiella sp.,OLIGOCHAETA
Potamothrix moldaviensis,OLIGOCHAETA
Potamothrix sp.,OLIGOCHAETA
Potamothrix vejdovskyi,OLIGOCHAETA
Pristina aequiseta,OLIGOCHAETA
Pristina breviseta,OLIGOCHAETA
Pristina leidyi,OLIGOCHAETA
Pristina menoni,OLIGOCHAETA
Pristina sp.,OLIGOCHAETA
Pristina synclites,OLIGOCHAETA
Pristinella jenkinae,OLIGOCHAETA
Pristinella osborni,OLIGOCHAETA
Pristinella sp.,OLIGOCHAETA
Quistadrilus multisetosus,OLIGOCHAETA
Quistadrilus sp.,OLIGOCHAETA
Rhyacodrilus sp.,OLIGOCHAETA
Rhyacodrilus subterraneus,OLIGOCHAETA
Ripistes parasita,OLIGOCHAETA
Ripistes sp.,OLIGOCHAETA
Slavina appendiculata,OLIGOCHAETA
Slavina sp.,OLIGOCHAETA
Specaria josinae,OLIGOCHAETA
Specaria sp.,OLIGOCHAETA
Spirosperma ferox,OLIGOCHAETA
Spirosperma sp.,OLIGOCHAETA
Stylaria lacustris,OLIGOCHAETA
Stylaria sp.,OLIGOCHAETA
Stylodrilus heringianus,OLIGOCHAETA
Stylodrilus sp.,OLIGOCHAETA
Tubifex sp.,OLIGOCHAETA
Tubifex tubifex,OLIGOCHAETA
Undet. Tubificidae,OLIGOCHAETA
Undet. Tubificidae w/ cap. setae,OLIGOCHAETA
Undet. Tubificidae w/o cap. setae,OLIGOCHAETA
Undetermined Enchytraeidae,OLIGOCHAETA
Undetermined Enchytraeidae sp. 1,OLIGOCHAETA
Undetermined Enchytraeidae sp. 2,OLIGOCHAETA
Undetermined Haplotaxidae,OLIGOCHAETA
Undetermined Lumbricina,OLIGOCHAETA
Undetermined Lumbriculidae,OLIGOCHAETA
Undetermined Naididae,OLIGOCHAETA
Undetermined Oligochaeta,OLIGOCHAETA
Vejdovskyella comata,OLIGOCHAETA
Vejdovskyella intermedia,OLIGOCHAETA
Vejdovskyella sp.,OLIGOCHAETA
Arrenurus sp.,OSTRACODA
Atractides sp.,OSTRACODA
Lebertia sp.,OSTRACODA
Limnesia sp.,OSTRACODA
Limnochares sp.,OSTRACODA
Mideopsis sp.,OSTRACODA
Sperchon sp.,OSTRACODA
Tyrellia sp.,OSTRACODA
Undetermined Acariformes,OSTRACODA
Unionicola sp.,OSTRACODA
Unionicola sp. 1,OSTRACODA
Unionicola sp. 2,OSTRACODA
Anodonta implicata,Pelecypoda
Anodonta sp.,Pelecypoda
Corbicula fluminea,Pelecypoda
Corbicula sp.,Pelecypoda
Dreissena polymorpha,Pelecypoda
Dreissena sp.,Pelecypoda
Elliptio complanata,Pelecypoda
Elliptio sp.,Pelecypoda
Lampsilis radiata,Pelecypoda
Lampsilis sp.,Pelecypoda
Musculium partumeium,Pelecypoda
Musculium sp.,Pelecypoda
Musculium transversum,Pelecypoda
Pisidium amnicum,Pelecypoda
Pisidium casertanum,Pelecypoda
Pisidium compressum,Pelecypoda
Pisidium sp.,Pelecypoda
Pisidium variabile,Pelecypoda
Pyganodon cataracta,Pelecypoda
Pyganodon sp.,Pelecypoda
Sphaerium corneum,Pelecypoda
Sphaerium rhomboideum,Pelecypoda
Sphaerium sp.,Pelecypoda
Sphaerium striatinum,Pelecypoda
Undetermined Corbiculidae,Pelecypoda
Undetermined Dreisseniidae,Pelecypoda
Undetermined Sphaeriidae,Pelecypoda
Undetermined Unionidae,Pelecypoda
Tallaperla sp.,Peltoperlidae
Undetermined Peltoperlidae,Peltoperlidae
Acroneuria abnormis,Perlidae
Acroneuria arenosa,Perlidae
Acroneuria carolinensis,Perlidae
Acroneuria lycorias,Perlidae
Acroneuria sp.,Perlidae
Agnetina annulipes,Perlidae
Agnetina capitata,Perlidae
Agnetina flavescens,Perlidae
Agnetina sp.,Perlidae
Claassenia sabulosa,Perlidae
Claassenia sp.,Perlidae
Eccoptura sp.,Perlidae
Eccoptura xanthenes,Perlidae
Neoperla sp.,Perlidae
Paragnetina immarginata,Perlidae
Paragnetina media,Perlidae
Paragnetina sp.,Perlidae
Perlesta sp.,Perlidae
Perlesta sp. 1,Perlidae
Perlesta sp. 2,Perlidae
Undetermined Perlidae,Perlidae
Cultus decisus,Perlodidae
Cultus sp.,Perlodidae
Diura sp.,Perlodidae
Helopicus sp.,Perlodidae
Helopicus subvarians,Perlodidae
Isogenoides hansoni,Perlodidae
Isogenoides sp.,Perlodidae
Isoperla frisoni,Perlodidae
Isoperla holochlora,Perlodidae
Isoperla marlynia,Perlodidae
Isoperla namata,Perlodidae
Isoperla nana,Perlodidae
Isoperla sp.,Perlodidae
Isoperla transmarina,Perlodidae
Malirekus iroquois,Perlodidae
Malirekus sp.,Perlodidae
Remenus sp.,Perlodidae
Undetermined Perlodidae,Perlodidae
Chimarra aterrima?,Philopotamidae
Chimarra obscura,Philopotamidae
Chimarra socia,Philopotamidae
Chimarra sp.,Philopotamidae
Dolophilodes sp.,Philopotamidae
Undetermined Philopotamidae,Philopotamidae
Wormaldia sp.,Philopotamidae
Oligostomis sp.,Phryganeidae
Phryganea sp.,Phryganeidae
Ptilostomis sp.,Phryganeidae
Undetermined Phryganeidae,Phryganeidae
Physella ancillaria,Physidae
Physella gyrina,Physidae
Physella heterostropha,Physidae
Physella integra,Physidae
Physella sp.,Physidae
Undetermined Physidae,Physidae
Cyrnellus fraternus,Polycentropodidae
Cyrnellus sp.,Polycentropodidae
Neureclipsis bimaculata,Polycentropodidae
Neureclipsis sp.,Polycentropodidae
Nyctiophylax celta,Polycentropodidae
Nyctiophylax moestus,Polycentropodidae
Nyctiophylax sp.,Polycentropodidae
Polycentropus remotus,Polycentropodidae
Polycentropus sp.,Polycentropodidae
Undetermined Polycentropodidae,Polycentropodidae
Ephoron leukon?,Polymitarcyidae
Ephoron sp.,Polymitarcyidae
Undetermined Polymitarcyidae,Polymitarcyidae
Anthopotamus sp.,Potamanthidae
Anthopotamus verticus,Potamanthidae
Undetermined Potamanthidae,Potamanthidae
Ectopria nervosa,Psephenidae
Ectopria sp.,Psephenidae
Psephenus herricki,Psephenidae
Psephenus sp.,Psephenidae
Undetermined Psephenidae,Psephenidae
Lype diversa,Psychomyiidae
Lype sp.,Psychomyiidae
Psychomyia flavida,Psychomyiidae
Psychomyia sp.,Psychomyiidae
Undetermined Psychomyiidae,Psychomyiidae
Pteronarcys biloba,Pteronarcidae
Pteronarcys comstocki,Pteronarcidae
Pteronarcys dorsata,Pteronarcidae
Pteronarcys proteus,Pteronarcidae
Pteronarcys sp.,Pteronarcidae
Undetermined Pteronarcidae,Pteronarcidae
Anchytarsus bicolor,Ptilodactylidae
Undetermined Ptilodactylidae,Ptilodactylidae
Rhyacophila acropedes,Rhyacophilidae
Rhyacophila acutiloba,Rhyacophilidae
Rhyacophila brunnea,Rhyacophilidae
Rhyacophila carolina?,Rhyacophilidae
Rhyacophila carpenteri?,Rhyacophilidae
Rhyacophila formosa,Rhyacophilidae
Rhyacophila fuscula,Rhyacophilidae
Rhyacophila glaberrima,Rhyacophilidae
Rhyacophila mainensis,Rhyacophilidae
Rhyacophila manistee,Rhyacophilidae
Rhyacophila minora,Rhyacophilidae
Rhyacophila nigrita,Rhyacophilidae
Rhyacophila sp.,Rhyacophilidae
Rhyacophila torva,Rhyacophilidae
Undetermined Rhyacophilidae,Rhyacophilidae
Sialis sp.,Sialidae
Undetermined Sialidae,Sialidae
Cnephia mutata,Simuliidae
Cnephia sp.,Simuliidae
Prosimulium arvum,Simuliidae
Prosimulium clandestinum,Simuliidae
Prosimulium fuscum,Simuliidae
Prosimulium magnum,Simuliidae
Prosimulium rhizophorum,Simuliidae
Prosimulium sp.,Simuliidae
Simulium aureum,Simuliidae
Simulium decorum,Simuliidae
Simulium fibrinflatum,Simuliidae
Simulium gouldingi,Simuliidae
Simulium jenningsi,Simuliidae
Simulium latipes,Simuliidae
Simulium parnassum,Simuliidae
Simulium pictipes,Simuliidae
Simulium rugglesi,Simuliidae
Simulium sp.,Simuliidae
Simulium tuberosum,Simuliidae
Simulium venustum,Simuliidae
Simulium vittatum,Simuliidae
Stegopterna sp.,Simuliidae
Undetermined Simuliidae,Simuliidae
Chrysops sp.,Tabanidae
Hybomitra sp.,Tabanidae
Tabanus sp.,Tabanidae
Undetermined Tabanidae,Tabanidae
Antocha sp.,Tipulidae
Antocha sp. 1,Tipulidae
Antocha sp. 2,Tipulidae
Dicranota sp.,Tipulidae
Helius sp.,Tipulidae
Hesperoconopa sp.,Tipulidae
Hexatoma sp.,Tipulidae
Hexatoma sp. 1,Tipulidae
Hexatoma sp. 2,Tipulidae
Limnophila sp.,Tipulidae
Limonia sp.,Tipulidae
Molophilus sp.,Tipulidae
Ormosia sp.,Tipulidae
Pedicia sp.,Tipulidae
Pilaria sp.,Tipulidae
Pseudolimnophila sp.,Tipulidae
Tipula sp.,Tipulidae
Ulomorpha sp.,Tipulidae
Undetermined Tipulidae,Tipulidae
Dugesia sp.,Turbellaria
Dugesia tigrina,Turbellaria
Undetermined Turbellaria,Turbellaria
Neophylax concinnus,Uenoidae
Neophylax fuscus,Uenoidae
Neophylax oligius,Uenoidae
Neophylax sp.,Uenoidae
Undetermined Uenoidae,Uenoidae
Undetermined Valvatidae,Valvatidae
Valvata lewisi,Valvatidae
Valvata piscinalis,Valvatidae
Valvata sincera,Valvatidae
Valvata sp.,Valvatidae
Valvata tricarinata,Valvatidae
