GENSPECIES,Family
Hydroptila nr. albicornis,Hydroptilidae
Hydroptila nr. armata,Hydroptilidae
Hydroptila nr. hamata,Hydroptilidae
Hydroptila nr. waubesiana,Hydroptilidae
Hydroptila sp.,Hydroptilidae
Hydroptila spatulata,Hydroptilidae
Ithytrichia sp.,Hydroptilidae
Leucotrichia sp.,Hydroptilidae
Mayatrichia ayama,Hydroptilidae
Mayatrichia sp.,Hydroptilidae
Neotrichia sp.,Hydroptilidae
Orthotrichia sp.,Hydroptilidae
Oxyethira sp.,Hydroptilidae
Palaeagapetus celsus,Hydroptilidae
Palaeagapetus sp.,Hydroptilidae
Undetermined Hydroptilidae,Hydroptilidae
Isonychia bicolor,Isonychiidae
Isonychia obscura,Isonychiidae
Isonychia sp.,Isonychiidae
Undetermined Isonychiidae,Isonychiidae
Lepidostoma sp.,Lepidostomatidae
Undetermined Lepidostomatidae,Lepidostomatidae
Tricorythodes sp.,Leptohyphidae
Undetermined Leptohyphidae,Leptohyphidae
Choroterpes sp.,Leptophlebiidae
Habrophlebia sp.,Leptophlebiidae
Habrophlebia vibrans,Leptophlebiidae
Habrophlebiodes sp.,Leptophlebiidae
Leptophlebia sp.,Leptophlebiidae
Paraleptophlebia adoptiva,Leptophlebiidae
Paraleptophlebia debilis,Leptophlebiidae
Paraleptophlebia guttata,Leptophlebiidae
Paraleptophlebia moerens,Leptophlebiidae
Paraleptophlebia mollis,Leptophlebiidae
Paraleptophlebia sp.,Leptophlebiidae
Paraleptophlebia volitans,Leptophlebiidae
Undetermined Leptophlebiidae,Leptophlebiidae
Leuctra ferruginea,Leuctridae
Leuctra maria,Leuctridae
Leuctra sp.,Leuctridae
Leuctra tenuis,Leuctridae
Leuctra truncata,Leuctridae
Undetermined Leuctridae,Leuctridae
Zealeuctra sp.,Leuctridae
Amphinemura delosa,Nemouridae
Amphinemura nigritta,Nemouridae
Amphinemura sp.,Nemouridae
Amphinemura wui,Nemouridae
Nemoura sp.,Nemouridae
Ostrocerca sp.,Nemouridae
Prostoia sp.,Nemouridae
Shipsa rotunda,Nemouridae
Shipsa sp.,Nemouridae
Soyedina sp.,Nemouridae
Undetermined Nemouridae,Nemouridae
Psilotreta labida,Odontoceridae
Psilotreta sp.,Odontoceridae
Undetermined Odontoceridae,Odontoceridae
Tallaperla sp.,Peltoperlidae
Undetermined Peltoperlidae,Peltoperlidae
Acroneuria abnormis,Perlidae
Acroneuria arenosa,Perlidae
Acroneuria carolinensis,Perlidae
Acroneuria lycorias,Perlidae
Acroneuria sp.,Perlidae
Agnetina annulipes,Perlidae
Agnetina capitata,Perlidae
Agnetina flavescens,Perlidae
Agnetina sp.,Perlidae
Claassenia sabulosa,Perlidae
Claassenia sp.,Perlidae
Eccoptura sp.,Perlidae
Eccoptura xanthenes,Perlidae
Neoperla sp.,Perlidae
Paragnetina immarginata,Perlidae
Paragnetina media,Perlidae
Paragnetina sp.,Perlidae
Perlesta sp.,Perlidae
Perlesta sp. 1,Perlidae
Perlesta sp. 2,Perlidae
Undetermined Perlidae,Perlidae
Cultus decisus,Perlodidae
Cultus sp.,Perlodidae
Diura sp.,Perlodidae
Helopicus sp.,Perlodidae
Helopicus subvarians,Perlodidae
Isogenoides hansoni,Perlodidae
Isogenoides sp.,Perlodidae
Isoperla frisoni,Perlodidae
Isoperla holochlora,Perlodidae
Isoperla marlynia,Perlodidae
Isoperla namata,Perlodidae
Isoperla nana,Perlodidae
Isoperla sp.,Perlodidae
Isoperla transmarina,Perlodidae
Malirekus iroquois,Perlodidae
Malirekus sp.,Perlodidae
Remenus sp.,Perlodidae
Undetermined Perlodidae,Perlodidae
Chimarra aterrima?,Philopotamidae
Chimarra obscura,Philopotamidae
Chimarra socia,Philopotamidae
Chimarra sp.,Philopotamidae
Dolophilodes sp.,Philopotamidae
Undetermined Philopotamidae,Philopotamidae
Wormaldia sp.,Philopotamidae
Cyrnellus fraternus,Polycentropodidae
Cyrnellus sp.,Polycentropodidae
Neureclipsis bimaculata,Polycentropodidae
Neureclipsis sp.,Polycentropodidae
Nyctiophylax celta,Polycentropodidae
Nyctiophylax moestus,Polycentropodidae
Nyctiophylax sp.,Polycentropodidae
Polycentropus remotus,Polycentropodidae
Polycentropus sp.,Polycentropodidae
Undetermined Polycentropodidae,Polycentropodidae
Ephoron leukon?,Polymitarcyidae
Ephoron sp.,Polymitarcyidae
Undetermined Polymitarcyidae,Polymitarcyidae
Anthopotamus sp.,Potamanthidae
Anthopotamus verticus,Potamanthidae
Undetermined Potamanthidae,Potamanthidae
Ectopria nervosa,Psephenidae
Ectopria sp.,Psephenidae
Psephenus herricki,Psephenidae
Psephenus sp.,Psephenidae
Undetermined Psephenidae,Psephenidae
Pteronarcys biloba,Pteronarcidae
Pteronarcys comstocki,Pteronarcidae
Pteronarcys dorsata,Pteronarcidae
Pteronarcys proteus,Pteronarcidae
Pteronarcys sp.,Pteronarcidae
Undetermined Pteronarcidae,Pteronarcidae
Rhyacophila acropedes,Rhyacophilidae
Rhyacophila acutiloba,Rhyacophilidae
Rhyacophila brunnea,Rhyacophilidae
Rhyacophila carolina?,Rhyacophilidae
Rhyacophila carpenteri?,Rhyacophilidae
Rhyacophila formosa,Rhyacophilidae
Rhyacophila fuscula,Rhyacophilidae
Rhyacophila glaberrima,Rhyacophilidae
Rhyacophila mainensis,Rhyacophilidae
Rhyacophila manistee,Rhyacophilidae
Rhyacophila minora,Rhyacophilidae
Rhyacophila nigrita,Rhyacophilidae
Rhyacophila sp.,Rhyacophilidae
Rhyacophila torva,Rhyacophilidae
Undetermined Rhyacophilidae,Rhyacophilidae
Neophylax concinnus,Uenoidae
Neophylax fuscus,Uenoidae
Neophylax oligius,Uenoidae
Neophylax sp.,Uenoidae
Undetermined Uenoidae,Uenoidae
