GENSPECIES,Family
Hydroptila nr. albicornis,Hydroptilidae
Hydroptila nr. armata,Hydroptilidae
Hydroptila nr. hamata,Hydroptilidae
Hydroptila nr. waubesiana,Hydroptilidae
Hydroptila sp.,Hydroptilidae
Hydroptila spatulata,Hydroptilidae
Ithytrichia sp.,Hydroptilidae
Leucotrichia sp.,Hydroptilidae
Mayatrichia ayama,Hydroptilidae
Mayatrichia sp.,Hydroptilidae
Neotrichia sp.,Hydroptilidae
Orthotrichia sp.,Hydroptilidae
Oxyethira sp.,Hydroptilidae
Palaeagapetus celsus,Hydroptilidae
Palaeagapetus sp.,Hydroptilidae
Undetermined Hydroptilidae,Hydroptilidae
Isonychia bicolor,Isonychiidae
Isonychia obscura,Isonychiidae
Isonychia sp.,Isonychiidae
Undetermined Isonychiidae,Isonychiidae
Lepidostoma sp.,Lepidostomatidae
Undetermined Lepidostomatidae,Lepidostomatidae
Tricorythodes sp.,Leptohyphidae
Undetermined Leptohyphidae,Leptohyphidae
Choroterpes sp.,Leptophlebiidae
Habrophlebia sp.,Leptophlebiidae
Habrophlebia vibrans,Leptophlebiidae
Habrophlebiodes sp.,Leptophlebiidae
Leptophlebia sp.,Leptophlebiidae
Paraleptophlebia adoptiva,Leptophlebiidae
Paraleptophlebia debilis,Leptophlebiidae
Paraleptophlebia guttata,Leptophlebiidae
Paraleptophlebia moerens,Leptophlebiidae
Paraleptophlebia mollis,Leptophlebiidae
Paraleptophlebia sp.,Leptophlebiidae
Paraleptophlebia volitans,Leptophlebiidae
Undetermined Leptophlebiidae,Leptophlebiidae
Leuctra ferruginea,Leuctridae
Leuctra maria,Leuctridae
Leuctra sp.,Leuctridae
Leuctra tenuis,Leuctridae
Leuctra truncata,Leuctridae
Undetermined Leuctridae,Leuctridae
Zealeuctra sp.,Leuctridae
Amphinemura delosa,Nemouridae
Amphinemura nigritta,Nemouridae
Amphinemura sp.,Nemouridae
Amphinemura wui,Nemouridae
Nemoura sp.,Nemouridae
Ostrocerca sp.,Nemouridae
Prostoia sp.,Nemouridae
Shipsa rotunda,Nemouridae
Shipsa sp.,Nemouridae
Soyedina sp.,Nemouridae
Undetermined Nemouridae,Nemouridae
Psilotreta labida,Odontoceridae
Psilotreta sp.,Odontoceridae
Undetermined Odontoceridae,Odontoceridae
Tallaperla sp.,Peltoperlidae
Undetermined Peltoperlidae,Peltoperlidae
Acroneuria abnormis,Perlidae
Acroneuria arenosa,Perlidae
Acroneuria carolinensis,Perlidae
Acroneuria lycorias,Perlidae
Acroneuria sp.,Perlidae
Agnetina annulipes,Perlidae
