"WA_SAMPLE_ID","WA_ASSESSMENT"
"41.2617_-73.8435_20160729","no conclusion"
"41.2623_-73.5965_20170928","no conclusion"
"41.2905_-73.3733_20170715","no conclusion"
"41.294_-74.4358_20130925","possibly impaired"
"41.3001_-73.9874_20170918","no conclusion"
"41.304_-73.3653_20170715","no conclusion"
"41.315_-73.9309_20120917","no conclusion"
"41.3153_-73.9311_20120807","no conclusion"
"41.3153_-73.9311_20120925","no conclusion"
"41.3254_-73.7397_20120725","no conclusion"
"41.3254_-73.7397_20120807","possibly impaired"
"41.3272_-73.5818_20130717","no conclusion"
"41.3272_-73.5818_20150717","no conclusion"
"41.3272_-73.5818_20140815","no conclusion"
"41.3272_-73.5818_20120826","no conclusion"
"41.3503_-73.9131_20180729","no conclusion"
"41.378_-74.6782_20160711","no conclusion"
"41.3847_-74.0134_20120820","no conclusion"
"41.4014_-74.0925_20160720","no conclusion"
"41.404_-74.027_20120729","no conclusion"
"41.4084_-73.5595_20160723","no conclusion"
"41.4086_-74.373_20130830","no conclusion"
"41.4094_-74.0733_20130922","no known impact"
"41.413_-73.7489_20130905","no conclusion"
"41.4148_-74.5329_20130816","no known impact"
"41.4167_-74.1667_20160803","possibly impaired"
"41.4189_-74.0225_20120707","no known impact"
"41.4199_-74.027_20120805","no conclusion"
"41.4199_-74.027_20120814","no known impact"
"41.4235_-73.5577_20160723","no conclusion"
"41.4298_-74.4218_20160913","possibly impaired"
"41.4307_-74.2013_20160726","no conclusion"
"41.4344_-73.6537_20160701","no conclusion"
"41.4428_-74.0036_20130718","no conclusion"
"41.4428_-74.0036_20120820","no conclusion"
"41.4456_-73.6045_20160723","no conclusion"
"41.4474_-73.7322_20160930","no conclusion"
"41.4588_-73.9201_20120930","no known impact"
"41.4635_-73.6942_20120903","no conclusion"
"41.4635_-73.6942_20120921","no known impact"
"41.4708_-73.7484_20120822","no conclusion"
"41.4724_-73.7873_20130907","no conclusion"
"41.4828_-74.0859_20160804","possibly impaired"
"41.4845_-73.626_20130917","no conclusion"
"41.4859_-74.5738_20150920","no conclusion"
"41.486_-74.332_20130819","no conclusion"
"41.4861_-74.0875_20160811","possibly impaired"
"41.4864_-74.0826_20160804","no conclusion"
"41.4881_-74.0131_20130818","no conclusion"
"41.49_-74.622_20130729","no known impact"
"41.4902_-73.8443_20120922","no conclusion"
"41.4919_-74.6217_20130725","no known impact"
"41.4943_-73.5461_20170715","no conclusion"
"41.4947_-73.5359_20160723","no known impact"
"41.4949_-74.0418_20140916","no conclusion"
"41.5011_-74.0728_20170918","no conclusion"
"41.5016_-73.8361_20120922","no conclusion"
"41.5021_-74.0371_20140731","no conclusion"
"41.5034_-73.9484_20160706","no conclusion"
"41.5082_-73.5862_20160723","possibly impaired"
"41.5083_-73.586_20170715","no conclusion"
"41.5104_-73.6833_20130818","no known impact"
"41.5112_-73.6118_20160723","no conclusion"
"41.5119_-73.6172_20130917","no known impact"
"41.5217_-74.4605_20160705","no known impact"
"41.5276_-74.0056_20120906","no conclusion"
"41.5276_-74.0056_20120920","no known impact"
"41.5323_-74.0625_20140731","no conclusion"
"41.5344_-73.5806_20160723","no conclusion"
"41.5359_-73.5811_20170715","no conclusion"
"41.5383_-73.6131_20170716","no conclusion"
"41.5395_-74.0414_20120810","possibly impaired"
"41.5446_-73.8625_20120922","no conclusion"
"41.5525_-74.0436_20160811","no known impact"
"41.5548_-74.43_20160705","no conclusion"
"41.5566_-74.0446_20120810","no known impact"
"41.5584_-74.1583_20120906","no known impact"
"41.5584_-74.1583_20120920","no known impact"
"41.5615_-73.5995_20170715","no conclusion"
"41.5615_-73.5995_20190929","no conclusion"
"41.565_-74.1781_20160701","no conclusion"
"41.5672_-73.6139_20190929","no conclusion"
"41.5675_-73.615_20170715","no known impact"
"41.5676_-73.5965_20160723","no conclusion"
"41.5678_-73.9122_20160702","no conclusion"
