"LatLon","LATITUDE","LONGITUDE","SBU.4.LTR","County","Stream.Name..NHD.if.available.otherwise.WI.","Concerns.from.Participants","PWL_ID","WIN","HUC_8","Classification","More.recently.used.Coordinates..changed.because.within.500..of.previous.site."
"41.1621,-74.1887",41.1621,-74.1887,"WRAMA06B","Rockland","Ramapo River","","1501-0012","NJ-12",2030103,"A(T)",""
"41.1624,-74.0082",41.1624,-74.0082,NA,NA,"Crum Creek",NA,NA,NA,NA,NA,NA
"41.1628,-74.0051",41.1628,-74.0051,"","","Crum Creek","","","",NA,"",""
"41.1632,-74.0086",41.1632,-74.0086,"","","Crum Creek","","","",NA,"",""
"41.1639,-74.0060",41.1639,-74.006,NA,NA,"Crum Creek",NA,NA,NA,NA,NA,NA
"41.164,-74.006",41.164,-74.006,"","","Crum Creek","","","",NA,"",""
"41.1644,-73.8621",41.1644,-73.8621,"","Westchester","Sing Sing Creek and tribs","","1301-0118","H- 28",2030101,"C",""
"41.1649,-74.0077",41.1649,-74.0077,NA,NA,"Crum Creek",NA,NA,NA,NA,NA,NA
"41.1734,-74.0002",41.1734,-74.0002,"","Rockland","West Br.Hackensack, Upper, and tribs","","1501-0009","NJ- 1/P977a-12",2030103,"C(T)",""
"41.1735,-74.0002",41.1735,-74.0002,"","","Crum Creek","","","",NA,"",""
"41.1750,-74.0010",41.175,-74.001,NA,NA,"Crum Creek",NA,NA,NA,NA,NA,NA
"41.1835,-74.0135",41.1835,-74.0135,"","Rockland","West Br.Hackensack, Upper, and tribs","","1501-0009","NJ- 1/P977a-12",2030103,"C(T)",""
"41.1852,-73.8686",41.1852,-73.8686,"","Westchester","Minor Tribs to Lower Croton River","","1302-0066","H- 31- 1 thru 6",2030101,"C",""
"41.1860,-74.0120",41.186,-74.012,NA,NA,"West Hackensack River",NA,NA,NA,NA,NA,NA
"41.1909,-73.8701",41.1909,-73.8701,"","Westchester","Indian Brook","","1302-0066","H- 31- 1 thru 6",2030101,"C",""
"41.1925,-74.0417",41.1925,-74.0417,"","Rockland","South Branch Minisceongo Creek","","1301-0090","H- 43- 1-10",2030101,"C",""
"41.1962,-74.0389",41.1962,-74.0389,NA,NA,"South Branch Minisceongo",NA,NA,NA,NA,NA,NA
"41.1963,-74.0394",41.1963,-74.0394,NA,NA,"South Branch Minisceongo",NA,NA,NA,NA,NA,NA
"41.2028,-73.9725",41.2028,-73.9725,NA,NA,"Minisceongo Creek",NA,NA,NA,NA,NA,NA
"41.2034,-73.9693",41.2034,-73.9693,NA,NA,"minisceongo creek ",NA,NA,NA,NA,NA,NA
"41.2043,-73.9668",41.2043,-73.9668,"","Rockland","Minisceongo Creek","","1301-0089","H- 43- 1",2030101,"SC / C",""
"41.2044,-73.9711",41.2044,-73.9711,"","","Minisceongo","","","",NA,"",""
"41.2077,-73.7261",41.2077,-73.7261,"","","Branch Brook","","","",NA,"",""
"41.223,-74.3958",41.223,-74.3958,"","Orange","Wawayanda Creek, Lower, and tribs","","1306-0079","H-139-13-61- 9",2020007,"C(T)",""
"41.2250,-73.9847",41.225,-73.9847,NA,NA,"Cedar Pond Brook",NA,NA,NA,NA,NA,NA
"41.227,-73.9849",41.227,-73.9849,"","Rockland","Cedar Pond Brook","","1301-0062","H- 43",2030101,"B",""
"41.2270,-73.9850",41.227,-73.985,NA,NA,"Cedar Pond Brood",NA,NA,NA,NA,NA,NA
"41.2504,-74.3841",41.2504,-74.3841,"","Orange","Wawayanda Creek","","1306-0079","H-139-13-61- 9",2020007,"C(T)",""
"41.2522,-74.0561",41.2522,-74.0561,"","","Tiorati Brook","","","",NA,"",""
"41.2524,-73.3329",41.2524,-73.3329,NA,NA,"Salmon's Daily Run (Gage Rd Br)",NA,NA,NA,NA,NA,NA
"41.2566,-73.5893",41.2566,-73.5893,"CROSA","Westchester","Upper Cross/Waccabuc River and tribs","","1302-0139","H- 31-P44-35-P109- 6",2030101,"C",""
"41.2570,-74.0025",41.257,-74.0025,NA,NA,"Timp Brook",NA,NA,NA,NA,NA,NA
"41.259,-73.5771",41.259,-73.5771,"WCROS00","Westchester","Cross River","","1302-0139","H- 31-P44-35-P109- 6",2030101,"A(TS)","41.2592,-73.576"
"41.2603,-73.6019",41.2603,-73.6019,"CROS6.8","Westchester","Cross River","","1302-0139","H- 31-P44-35-P109- 6",2030101,"A(TS)",""
"41.2617,-73.8435",41.2617,-73.8435,"","","Hunter Brook","","","",NA,"",""
"41.2623,-73.5965",41.2623,-73.5965,NA,NA,"Cross River",NA,NA,NA,NA,NA,NA
"41.2905,-73.3733",41.2905,-73.3733,NA,NA,"Trinity Brook Lawlor Bldg",NA,NA,NA,NA,NA,NA
"41.294,-74.4358",41.294,-74.4358,"WLYOR01","Orange","Quaker Creek and tribs","","1306-0025","H-139-13-59",2020007,"C",""
"41.3001,-73.9874",41.3001,-73.9874,NA,NA,"Doodletown Brook",NA,NA,NA,NA,NA,NA
"41.3040,-73.3653",41.304,-73.3653,NA,NA,"Mill Stream",NA,NA,NA,NA,NA,NA
"41.315,-73.9309",41.315,-73.9309,"ANNS02","Westchester","Annsville Creek","","1301-0133","H- 46 thru 59, EOH (selected)",2030101,"C",""
"41.3153,-73.9311",41.3153,-73.9311,"ANNS02","Westchester","Annsville Creek","","1301-0133","H- 46 thru 59, EOH (selected)",2030101,"B",""
"41.3254,-73.7397",41.3254,-73.7397,"AMAW01","Westchester","Minor Tribs to Amawalk Reservoir","","1302-0082","H- 31-P44-14-P50-",2030101,"B",""
"41.3272,-73.5818",41.3272,-73.5818,"WTICU4.7","Westchester","Titicus River","","1302-0135","H- 31-P44-26/P103-",2030101,"C(TS)","41.3271,-73.5819"
"41.3503,-73.9131",41.3503,-73.9131,NA,NA,"Tallman Site",NA,NA,NA,NA,NA,NA
"41.378,-74.6782",41.378,-74.6782,"","","Gold Creek","","","",NA,"",""
"41.3847,-74.0134",41.3847,-74.0134,"","Orange","Highland Brook and tribs","","1301-0172","H- 71",2020008,"A(T)",""
"41.4014,-74.0925",41.4014,-74.0925,"","","Baby Brook","","","",NA,"",""
"41.404,-74.027",41.404,-74.027,"HRBLA","Orange","Minor Tribs to West of Hudson","","1301-0169","H- 63 thru 88, WOH (selected)",2020008,"C",""
"41.4084,-73.5595",41.4084,-73.5595,"","","Unnamed stream","","","",NA,"",""
"41.4086,-74.373",41.4086,-74.373,"WCHEE01","Orange","Minor Tribs to Middle Wallkill","","1306-0061","H-139-13-20 thru 53",2020007,"C",""
"41.4094,-74.0733",41.4094,-74.0733,"MOOD5.3","Orange","Moodna Creek","","1303-0010","H- 89",2020008,"B(T)",""
"41.413,-73.7489",41.413,-73.7489,"WSECO01","Putnam","Tribs of Secor and Kirk Lakes","","1302-0081","H- 31-P44-14- 7-P52- and 4-P51-",2030101,"C",""
"41.4148,-74.5329",41.4148,-74.5329,"WBINN01","Orange","Indigot Creek, Upper, and tribs","","1306-0086","H-139-13-62- 3",2020007,"A",""
"41.4167,-74.1667",41.4167,-74.1667,"","","Unnamed trib to Moodna Creek","","","",NA,"",""
"41.4189,-74.0225",41.4189,-74.0225,"HRBLB","Orange","Minor Tribs to West of Hudson","","1301-0169","H- 63 thru 88, WOH (selected)",2020008,"A(TS)",""
"41.4199,-74.027",41.4199,-74.027,"HRBLC","Orange","Minor Tribs to West of Hudson","","1301-0169","H- 63 thru 88, WOH (selected)",2020008,"C(TS)",""
"41.4235,-73.5577",41.4235,-73.5577,"","","Salmons Daily Brook","","","",NA,"",""
"41.4298,-74.4218",41.4298,-74.4218,"","","Monhagen Brook","","","",NA,"",""
"41.4307,-74.2013",41.4307,-74.2013,"","","Cromline Creek","","","",NA,"",""
"41.4344,-73.6537",41.4344,-73.6537,"","","Middle Branch Croton River","","","",NA,"",""
"41.4428,-74.0036",41.4428,-74.0036,"WCRWL01","Orange","Minor Tribs to West of Hudson","","1301-0169","H- 63 thru 88, WOH (selected)",2020008,"C",""
"41.4456,-73.6045",41.4456,-73.6045,"","","Unnamed (Schoolhouse Br)","","","",NA,"",""
"41.4474,-73.7322",41.4474,-73.7322,NA,NA,"West Branch Croton",NA,NA,NA,NA,NA,NA
"41.4588,-73.9201",41.4588,-73.9201,"CLVC00","Putnam","Clove Creek","","1304-0014","H- 95- 5",2020008,"C(TS)",""
"41.4635,-73.6942",41.4635,-73.6942,"HORS02","Putnam","Horse Pound Brook","","1302-0113","H- 31-P44-23..P67-",2030101,"B(TS)",""
"41.4708,-73.7484",41.4708,-73.7484,"BOYD00","Putnam","West Branch Croton R, Upper, and tribs","","1302-0095","H- 31-P44-23 (portion 7)",2030101,"C(T)",""
"41.4724,-73.7873",41.4724,-73.7873,"","Putnam","Tribs to Sagamore Lake","","1302-0097","H- 31-P44-23 (portion 8)/P76j-",2030101,"C",""
"41.4828,-74.0859",41.4828,-74.0859,"","","Silver Stream","","","",NA,"",""
"41.4838,-73.6272",41.4838,-73.6272,"","","Trinity Brook","","","",NA,"",""
"41.4845,-73.626",41.4845,-73.626,"WMDDYA","Putnam","Muddy Brook and tribs","","1302-0011","H- 31-P44-24-25",2030101,"C(T)",""
"41.4859,-74.5738",41.4859,-74.5738,"","Orange","Unnamed trib to Neversink","","1402-0040","D- 1-13",2040104,"C(T)",""
"41.486,-74.332",41.486,-74.332,"WMLBN01","Orange","Milburn Creek, Upper, and tribs","","1306-0071","H-139-13-47",2020007,"B",""
"41.4861,-74.0875",41.4861,-74.0875,"","","Silver Stream","","","",NA,"",""
"41.4864,-74.0826",41.4864,-74.0826,"","","Silver Stream","","","",NA,"",""
"41.4881,-74.0131",41.4881,-74.0131,"QUAS0.3","Orange","Quassaic Creek","","1301-0079","H- 94",2020008,"C",""
"41.49,-74.622",41.49,-74.622,"WNEVO01","Orange","Minor Tribs to Middle Neversink","","1402-0041","D- 1-13 thru 36 (selected)",2040104,"C(T)",""
"41.4902,-73.8443",41.4902,-73.8443,"TOUT01","Putnam","Trout Creek","","1304-0010","H- 95",2020008,"C(T)",""
"41.4919,-74.6217",41.4919,-74.6217,"","Orange","Minor Tribs to Middle Neversink","","1402-0041","D- 1-13 thru 36 (selected)",2040104,"C(T)",""
"41.4943,-73.5461",41.4943,-73.5461,NA,NA,"Haviland Hollow Br",NA,NA,NA,NA,NA,NA
"41.4947,-73.5359",41.4947,-73.5359,"","","Haviland Hollow Brook","","","",NA,"",""
"41.4949,-74.0418",41.4949,-74.0418,"","Orange","Quassaic Creek, Lower, and minor tribs","","1301-0079","H- 94",2020008,"C",""
"41.5011,-74.0728",41.5011,-74.0728,NA,NA,"Patton Brook",NA,NA,NA,NA,NA,NA
"41.5016,-73.8361",41.5016,-73.8361,"WICC00","Dutchess","Wiccopee Creek","","1304-0010","H- 95",2020008,"C(T)",""
"41.5021,-74.0371",41.5021,-74.0371,"","Orange","Gidneytown Creek","","1301-0187","H- 94- 4",2020008,"C",""
"41.5034,-73.9484",41.5034,-73.9484,"","","Dry Brook","","","",NA,"",""
"41.5082,-73.5862",41.5082,-73.5862,"","","Stephens Brook","","","",NA,"",""
"41.5083,-73.5860",41.5083,-73.586,NA,NA,"Stephens Brook",NA,NA,NA,NA,NA,NA
"41.5104,-73.6833",41.5104,-73.6833,"WSTMP0.6","Putnam","Stump Pond Stream","","1302-0110","H- 31-P44-23-P59- 6-P62..P62a..P63-",2030101,"C",""
"41.5112,-73.6118",41.5112,-73.6118,"","","Mill Brook","","","",NA,"",""
"41.5119,-73.6172",41.5119,-73.6172,"","Putnam","Muddy Brook and tribs","","1302-0011","H- 31-P44-24-25",2030101,"C(TS)",""
"41.5217,-74.4605",41.5217,-74.4605,"","","Shawangunk Kill","","","",NA,"",""
"41.5276,-74.0056",41.5276,-74.0056,"NEWB01","Orange","Minor Tribs to West of Hudson","","1301-0191","H- 96 thru 100, WOH (selected)",2020008,"C",""
"41.5323,-74.0625",41.5323,-74.0625,"","Orange","Quassaic Creek","","1301-0079","H- 94",2020008,"C",""
"41.5344,-73.5806",41.5344,-73.5806,"","","Brady Brook","","","",NA,"",""
"41.5359,-73.5811",41.5359,-73.5811,NA,NA,"Brady Brook",NA,NA,NA,NA,NA,NA
"41.5383,-73.6131",41.5383,-73.6131,NA,NA,"Cushman Brook",NA,NA,NA,NA,NA,NA
"41.5395,-74.0414",41.5395,-74.0414,"GIDN02","Orange","Gidneytown Creek","","1301-0187","H- 94- 4",2020008,"C",""
"41.5446,-73.8625",41.5446,-73.8625,"FISH 05A","Dutchess","Fishkill Creek","","1304-0010","H- 95",2020008,"C(T)",""
"41.5525,-74.0436",41.5525,-74.0436,"","","Gidneytown Creek","","","",NA,"",""
"41.5548,-74.43",41.5548,-74.43,"","","Shawangunk Kill","","","",NA,"",""
"41.5566,-74.0446",41.5566,-74.0446,"GIDN5.2","Orange","Gidneytown Creek","","1301-0187","H- 94- 4",2020008,"C",""
"41.5584,-74.1583",41.5584,-74.1583,"TINW00","Orange","Tin Brook","","1306-0069","H-139-13-33",2020007,"B",""
"41.5615,-73.5995",41.5615,-73.5995,NA,NA,"Purgatory Hill Br (EBCroton River)",NA,NA,NA,NA,NA,NA
"41.565,-74.1781",41.565,-74.1781,"","","Tin Brook","","","",NA,"",""
"41.5675,-73.6150",41.5675,-73.615,NA,NA,"Murrow Brook (Swamp River 00)",NA,NA,NA,NA,NA,NA
"41.5676,-73.5965",41.5676,-73.5965,"","","T.P. Cemetery Brook","","","",NA,"",""
"41.5678,-73.9122",41.5678,-73.9122,"","","unnamed trib to Hughsonville","","","",NA,"",""
"41.5697,-74.2846",41.5697,-74.2846,"WDWAR11.5","Orange","Dwaar Kill","","1306-0063","H-139-13-24",2020007,"A",""
"41.5720,-73.6075",41.572,-73.6075,NA,NA,"Green Mountain Lake Brook",NA,NA,NA,NA,NA,NA
"41.578,-73.8017",41.578,-73.8017,"FISH04","Dutchess","Fishkill Creek","","1304-0010","H- 95",2020008,"C(T)",""
"41.5815,-74.33",41.5815,-74.33,"WPAKA00","Orange","Pakanasink Creek","","1306-0053","H-139-13-19- 9",2020007,"C",""
"41.5823,-74.5688",41.5823,-74.5688,"WYANK01","Sullivan","Minor Tribs to Middle Neversink","","1402-0041","D- 1-13 thru 36 (selected)",2040104,"B",""
"41.5846,-74.0786",41.5846,-74.0786,"WQUAS9.8","Orange","Quassaic Creek","","1301-0184","H- 94",2020008,"A",""
"41.5850,-73.5998",41.585,-73.5998,NA,NA,"West Mountain Brook (Weir Br)",NA,NA,NA,NA,NA,NA
"41.5852,-73.5995",41.5852,-73.5995,"","","Weir Brook","","","",NA,"",""
"41.5878,-73.7897",41.5878,-73.7897,"FISH16.3","Dutchess","Fishkill Creek","","1304-0010","H- 95",2020008,"B(T)",""
"41.5890,-73.5837",41.589,-73.5837,NA,NA,"Hiller Brook at Hurds Corners",NA,NA,NA,NA,NA,NA
"41.5891,-73.5842",41.5891,-73.5842,"","Dutchess","Hiller Brook","","1601-0016","Conn 15- 4",1100005,"C(TS)",""
"41.5931,-73.9259",41.5931,-73.9259,"","Dutchess","Wappingers Cr, Lower, and minor tribs","","1305-0012","H-101 (portion 1)",2020008,"C",""
"41.5972,-74.4861",41.5972,-74.4861,"","Sullivan","Willsey Brook and tribs","","1402-0037","D- 1-12-23",2040104,"C(T)",""
"41.6033,-74.0795",41.6033,-74.0795,"WQUAS11.2","Ulster","Quassaic Creek","","1301-0184","H- 94",2020008,"A",""
"41.6036,-74.3273",41.6036,-74.3273,"","","Verkeerderkill","","","",NA,"",""
"41.6066,-74.0744",41.6066,-74.0744,"WQUAS11.6","Ulster","Quassaic Creek","","1301-0185","H- 94",2020008,"C",""
"41.6068,-74.0744",41.6068,-74.0744,NA,NA,"Quassaick Creek",NA,NA,NA,NA,NA,NA
"41.6105,-73.7468",41.6105,-73.7468,"WSYLA01","Dutchess","Sylvan Lake Outlet and tribs","","1304-0028","H- 95-14",2020008,"B",""
"41.6172,-73.8238",41.6172,-73.8238,"","Dutchess","Sprout Creek","","1304-0021","H- 95-10",2020008,"C(T)",""
"41.6206,-73.6538",41.6206,-73.6538,"GHOL01","Dutchess","Gardner Hollow Brook, Upper, and tribs","","1304-0031","H- 95-19- 3",2020008,"A",""
"41.625,-73.9425",41.625,-73.9425,"WCASPT","Dutchess","Casper Creek","","1301-0195","H-105",2020008,"B",""
"41.6268,-74.8159",41.6268,-74.8159,NA,NA,"Hemp Meadow Brook",NA,NA,NA,NA,NA,NA
"41.6332,-74.7759",41.6332,-74.7759,NA,NA,"Kinne Brook",NA,NA,NA,NA,NA,NA
"41.6398,-74.4471",41.6398,-74.4471,"","","Homowak kill and tribs","","","",NA,"",""
"41.6444,-74.4425",41.6444,-74.4425,"HOMW2.4","Sullivan","Delaware and Hudson Canal","","1306-0122","H-139-14-38-14",2020007,"B(T)",""
"41.6484,-74.2641",41.6484,-74.2641,"","","Dwaarkill","","","",NA,"",""
"41.6557,-73.5373",41.6557,-73.5373,"","Dutchess","Tenmile River","","1601-0011","Conn 15",1100005,"B(T)",""
"41.6559,-73.5355",41.6559,-73.5355,"","","Tenmile River","","","",NA,"",""
"41.6597,-74.8076",41.6597,-74.8076,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA
"41.6648,-74.8139",41.6648,-74.8139,NA,NA,"White Lake Brook",NA,NA,NA,NA,NA,NA
"41.6652,-74.4794",41.6652,-74.4794,"SDBG9.8","Sullivan","Sandburg Creek","","1306-0114","H-139-14-38",2020007,"B(TS)",""
"41.676,-74.2626",41.676,-74.2626,"WPALG01","Ulster","Palmaghatt Kill","","1306-0050","H-139-13-19- 5",2020007,"A(T)",""
"41.682,-73.8927",41.682,-73.8927,"","","Casperkill","","","",NA,"",""
"41.6838,-73.8664",41.6838,-73.8664,"WAPP04","Dutchess","Wappinger Creek","","1305-0013","H-101 (portion 3)",2020008,"B(T)",""
"41.6864,-74.1648",41.6864,-74.1648,"","","Wallkill River","","","",NA,"",""
"41.6875,-74.1732",41.6875,-74.1732,"","","Shawangunk Kill","","","",NA,"",""
"41.6963,-74.1011",41.6963,-74.1011,"PKIL00","Ulster","Platte Kill and tribs","","1306-0044","H-139-13-16",2020007,"B(T)",""
"41.6989,-73.866",41.6989,-73.866,"WAPP04A","Dutchess","Wappinger Creek","","1305-0013","H-101 (portion 3)",2020008,"B(T)",""
"41.7011,-73.8886",41.7011,-73.8886,"","Dutchess","Casper Creek","","1301-0195","H-105",2020008,"C",""
"41.7071,-73.9239",41.7071,-73.9239,"","","Fall Kill","","","",NA,"",""
"41.7087,-73.9334",41.7087,-73.9334,"","","Fall Kill","","","",NA,"",""
"41.7091,-73.9388",41.7091,-73.9388,"","Dutchess","Fall Kill","","1301-0087","H-114",2020008,"C",""
